State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alabama,Horseshoe Bend NMP,"65,892",-2.78%,"13,517",0.78%,"922,773",-4.79%,"162,207",0.78%,"307,560",-4.79%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"755,264",-3.36%,"181,325",-3.31%,"1,535,964",0.07%,"2,175,894",-3.31%,"920,751",3.60%,0,,0,,652,,884,,0,,0,,0,,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Alabama,Little River Canyon NPRES,"225,549",17.12%,"23,728",13.13%,0,,"284,739",13.13%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"755,264",-3.36%,"181,325",-3.31%,"1,535,964",0.07%,"2,175,894",-3.31%,"920,751",3.60%,0,,0,,652,,884,,0,,0,,0,,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Alabama,Natchez Trace PKWY,"403,574",-2.46%,"135,934",-2.40%,"613,191",8.39%,"1,631,203",-2.40%,"613,191",8.39%,0,,0,,652,46.19%,884,-14.75%,0,,0,,0,,Subtotal Alabama,"755,264",-3.36%,"181,325",-3.31%,"1,535,964",0.07%,"2,175,894",-3.31%,"920,751",3.60%,0,,0,,652,,884,,0,,0,,0,,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Alabama,Russell Cave NM,"20,717",-11.37%,"2,826",-9.40%,0,,"33,916",-9.40%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"755,264",-3.36%,"181,325",-3.31%,"1,535,964",0.07%,"2,175,894",-3.31%,"920,751",3.60%,0,,0,,652,,884,,0,,0,,0,,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Alabama,Tuskegee Airmen NHS,"16,244",-73.29%,"2,031",-73.29%,0,,"24,367",-73.29%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"755,264",-3.36%,"181,325",-3.31%,"1,535,964",0.07%,"2,175,894",-3.31%,"920,751",3.60%,0,,0,,652,,884,,0,,0,,0,,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Alabama,Tuskegee Institute NHS,"23,288",0.25%,"3,289",4.57%,0,,"39,462",4.57%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"755,264",-3.36%,"181,325",-3.31%,"1,535,964",0.07%,"2,175,894",-3.31%,"920,751",3.60%,0,,0,,652,,884,,0,,0,,0,,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Alaska,Aniakchak NM & PRES,57,-8.06%,334,-48.30%,2,,"4,008",-48.30%,16,,0,,0,,0,,0,,156,-50.00%,0,,0,,Subtotal Alaska,"2,333,919",2.60%,"1,704,274",1.59%,"881,890",,"20,451,287",1.59%,"466,112",,"17,490",,0,,"28,406",,"46,213",,"79,006",7.13%,"21,768",,"11,681",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Alaska,Bering Land Bridge NPRES,"1,890",-28.46%,473,-28.46%,"1,029",-8.78%,"5,670",-28.46%,"8,232",-8.78%,0,,0,,0,,0,,"1,103",-1.78%,400,,0,11.11%,Subtotal Alaska,"2,333,919",2.60%,"1,704,274",1.59%,"881,890",,"20,451,287",1.59%,"466,112",,"17,490",,0,,"28,406",,"46,213",,"79,006",7.13%,"21,768",,"11,681",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Alaska,Cape Krusenstern NM,"8,668",243.83%,"1,428",262.97%,"3,702",849.23%,"17,136",262.97%,"29,616",849.23%,0,,0,,0,,0,,"4,335",915.22%,"4,902",,0,1578.77%,Subtotal Alaska,"2,333,919",2.60%,"1,704,274",1.59%,"881,890",,"20,451,287",1.59%,"466,112",,"17,490",,0,,"28,406",,"46,213",,"79,006",7.13%,"21,768",,"11,681",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Alaska,Denali NP & PRES,"406,582",7.32%,"563,380",9.88%,"866,398",-0.65%,"6,760,554",9.88%,"216,600",-0.66%,0,,0,,"20,962",-7.12%,"46,213",6.27%,"39,914",3.34%,0,37.21%,"1,958",,Subtotal Alaska,"2,333,919",2.60%,"1,704,274",1.59%,"881,890",,"20,451,287",1.59%,"466,112",,"17,490",,0,,"28,406",,"46,213",,"79,006",7.13%,"21,768",,"11,681",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Alaska,Gates of the Arctic NP & PRES,"11,623",7.22%,"13,612",-7.89%,0,,"163,349",-7.89%,0,,0,,0,,0,,0,,"6,576",-8.35%,0,,0,,Subtotal Alaska,"2,333,919",2.60%,"1,704,274",1.59%,"881,890",,"20,451,287",1.59%,"466,112",,"17,490",,0,,"28,406",,"46,213",,"79,006",7.13%,"21,768",,"11,681",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Alaska,Glacier Bay NP & PRES,"431,986",-2.82%,"465,976",0.98%,428,-5.73%,"5,591,713",0.98%,"129,000",-8.98%,"13,665",317.12%,0,,810,62.65%,0,,"4,736",-22.64%,"5,375",82.59%,"9,723",-8.98%,Subtotal Alaska,"2,333,919",2.60%,"1,704,274",1.59%,"881,890",,"20,451,287",1.59%,"466,112",,"17,490",,0,,"28,406",,"46,213",,"79,006",7.13%,"21,768",,"11,681",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Alaska,Katmai NP & PRES,"48,939",-11.30%,"29,351",8.65%,13,,"352,208",8.65%,104,,"3,825",-1.80%,0,,"4,014",73.09%,0,,400,-17.18%,0,,0,,Subtotal Alaska,"2,333,919",2.60%,"1,704,274",1.59%,"881,890",,"20,451,287",1.59%,"466,112",,"17,490",,0,,"28,406",,"46,213",,"79,006",7.13%,"21,768",,"11,681",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Alaska,Kenai Fjords NP,"346,852",16.55%,"76,986",11.81%,0,,"923,826",11.81%,0,,0,,0,,"1,250",-2.65%,0,,541,-68.03%,0,,0,,Subtotal Alaska,"2,333,919",2.60%,"1,704,274",1.59%,"881,890",,"20,451,287",1.59%,"466,112",,"17,490",,0,,"28,406",,"46,213",,"79,006",7.13%,"21,768",,"11,681",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Alaska,Klondike Gold Rush NHP Alaska,"795,150",-0.32%,"266,987",-1.62%,0,,"3,203,840",-1.62%,0,,0,,0,,"1,370",-50.00%,0,,"4,222",-6.12%,0,,0,,Subtotal Alaska,"2,333,919",2.60%,"1,704,274",1.59%,"881,890",,"20,451,287",1.59%,"466,112",,"17,490",,0,,"28,406",,"46,213",,"79,006",7.13%,"21,768",,"11,681",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Alaska,Kobuk Valley NP,"11,485",262.99%,"2,246",224.70%,"4,843",1208.92%,"26,950",224.70%,"38,744",1208.92%,0,,0,,0,,0,,"4,896",873.36%,"4,819",,0,1858.94%,Subtotal Alaska,"2,333,919",2.60%,"1,704,274",1.59%,"881,890",,"20,451,287",1.59%,"466,112",,"17,490",,0,,"28,406",,"46,213",,"79,006",7.13%,"21,768",,"11,681",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Alaska,Lake Clark NP & PRES,"5,158",-48.06%,"4,400",-60.34%,0,,"52,798",-60.34%,0,,0,,0,,0,,0,,"1,931",-62.50%,0,,0,,Subtotal Alaska,"2,333,919",2.60%,"1,704,274",1.59%,"881,890",,"20,451,287",1.59%,"466,112",,"17,490",,0,,"28,406",,"46,213",,"79,006",7.13%,"21,768",,"11,681",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Alaska,Noatak NPRES,"11,722",259.90%,"8,088",230.44%,"5,475",1464.29%,"97,057",230.44%,"43,800",1464.29%,0,,0,,0,,0,,"4,677",766.11%,"5,017",,0,1600.68%,Subtotal Alaska,"2,333,919",2.60%,"1,704,274",1.59%,"881,890",,"20,451,287",1.59%,"466,112",,"17,490",,0,,"28,406",,"46,213",,"79,006",7.13%,"21,768",,"11,681",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Alaska,Sitka NHP,"186,864",-1.22%,"9,662",-1.44%,0,,"115,948",-1.44%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alaska,"2,333,919",2.60%,"1,704,274",1.59%,"881,890",,"20,451,287",1.59%,"466,112",,"17,490",,0,,"28,406",,"46,213",,"79,006",7.13%,"21,768",,"11,681",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Alaska,Wrangell-St. Elias NP & PRES,"65,225",-10.86%,"250,028",-10.86%,0,,"3,000,338",-10.86%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alaska,"2,333,919",2.60%,"1,704,274",1.59%,"881,890",,"20,451,287",1.59%,"466,112",,"17,490",,0,,"28,406",,"46,213",,"79,006",7.13%,"21,768",,"11,681",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Alaska,Yukon-Charley Rivers NPRES,"1,718",-72.34%,"11,324",-25.69%,0,,"135,892",-25.69%,0,,0,,0,,0,,0,,"5,519",-22.29%,"1,255",,0,,Subtotal Alaska,"2,333,919",2.60%,"1,704,274",1.59%,"881,890",,"20,451,287",1.59%,"466,112",,"17,490",,0,,"28,406",,"46,213",,"79,006",7.13%,"21,768",,"11,681",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
American Samoa,National Park of American Samoa,"8,716",189.95%,"1,453",189.84%,0,,"17,431",189.84%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal American Samoa,"8,716",189.95%,"1,453",189.84%,0,,"17,431",189.84%,0,,0,,0,,0,,0,,0,,0,,0,,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Arizona,Canyon de Chelly NM,"828,145",0.11%,"457,435",-1.44%,"1,219,750",0.32%,"5,489,223",-1.44%,"2,439,501",0.32%,"25,146",-8.10%,0,,"5,736",-22.24%,"10,764",-21.51%,"1,042",16.29%,0,-41.54%,674,,Subtotal Arizona,"10,134,892",-3.90%,"7,920,782",-3.86%,"4,503,011",-1.08%,"95,049,378",-3.86%,"3,912,159",-1.87%,"675,371",2.02%,"99,785",,"247,133",22.50%,"188,298",9.48%,"345,466",-0.69%,"48,670",-6.40%,"159,540",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Arizona,Casa Grande Ruins NM,"72,308",-6.51%,"8,207",-6.52%,"2,160",0.00%,"98,488",-6.52%,216,0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"10,134,892",-3.90%,"7,920,782",-3.86%,"4,503,011",-1.08%,"95,049,378",-3.86%,"3,912,159",-1.87%,"675,371",2.02%,"99,785",,"247,133",22.50%,"188,298",9.48%,"345,466",-0.69%,"48,670",-6.40%,"159,540",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Arizona,Chiricahua NM,"37,037",-33.19%,"13,544",-40.88%,"3,600",0.00%,"162,527",-40.88%,"1,200",0.00%,0,,0,,"2,166",-42.76%,"2,883",-33.40%,0,,0,-55.15%,183,,Subtotal Arizona,"10,134,892",-3.90%,"7,920,782",-3.86%,"4,503,011",-1.08%,"95,049,378",-3.86%,"3,912,159",-1.87%,"675,371",2.02%,"99,785",,"247,133",22.50%,"188,298",9.48%,"345,466",-0.69%,"48,670",-6.40%,"159,540",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Arizona,Coronado NMEM,"153,042",12.30%,"13,527",-0.16%,"2,508",0.00%,"162,326",-0.16%,"1,248",0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"10,134,892",-3.90%,"7,920,782",-3.86%,"4,503,011",-1.08%,"95,049,378",-3.86%,"3,912,159",-1.87%,"675,371",2.02%,"99,785",,"247,133",22.50%,"188,298",9.48%,"345,466",-0.69%,"48,670",-6.40%,"159,540",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Arizona,Fort Bowie NHS,"8,429",-11.19%,"1,405",-11.19%,0,,"16,858",-11.19%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"10,134,892",-3.90%,"7,920,782",-3.86%,"4,503,011",-1.08%,"95,049,378",-3.86%,"3,912,159",-1.87%,"675,371",2.02%,"99,785",,"247,133",22.50%,"188,298",9.48%,"345,466",-0.69%,"48,670",-6.40%,"159,540",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Arizona,Glen Canyon NRA,"181,665",6.89%,"235,026",-13.37%,"2,111",1.20%,"2,820,308",-13.37%,"25,338",1.22%,"6,026",-55.74%,"8,114",2.60%,418,3.98%,514,2.80%,"4,766",47.42%,0,-16.89%,"85,099",,Subtotal Arizona,"10,134,892",-3.90%,"7,920,782",-3.86%,"4,503,011",-1.08%,"95,049,378",-3.86%,"3,912,159",-1.87%,"675,371",2.02%,"99,785",,"247,133",22.50%,"188,298",9.48%,"345,466",-0.69%,"48,670",-6.40%,"159,540",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Arizona,Grand Canyon NP,"4,298,178",-2.06%,"5,657,215",-1.72%,"62,265",-23.96%,"67,886,575",-1.72%,"62,265",-23.96%,"639,661",3.91%,"57,185",0.48%,"206,850",33.42%,"126,310",32.09%,"291,833",-1.39%,0,33.74%,"35,840",,Subtotal Arizona,"10,134,892",-3.90%,"7,920,782",-3.86%,"4,503,011",-1.08%,"95,049,378",-3.86%,"3,912,159",-1.87%,"675,371",2.02%,"99,785",,"247,133",22.50%,"188,298",9.48%,"345,466",-0.69%,"48,670",-6.40%,"159,540",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Arizona,Hubbell Trading Post NHS,"88,231",9.50%,"3,799",9.50%,"4,584",0.00%,"45,585",9.50%,"1,056",0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"10,134,892",-3.90%,"7,920,782",-3.86%,"4,503,011",-1.08%,"95,049,378",-3.86%,"3,912,159",-1.87%,"675,371",2.02%,"99,785",,"247,133",22.50%,"188,298",9.48%,"345,466",-0.69%,"48,670",-6.40%,"159,540",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Arizona,Lake Mead NRA,"1,599,171",-9.66%,"1,136,798",-7.84%,"58,001",-9.66%,"13,641,576",-7.84%,"348,006",-9.66%,"4,538",-16.58%,"34,486",-2.41%,"28,489",-3.68%,"36,259",-3.68%,"45,084",-0.17%,"44,311",-4.80%,"37,685",0.90%,Subtotal Arizona,"10,134,892",-3.90%,"7,920,782",-3.86%,"4,503,011",-1.08%,"95,049,378",-3.86%,"3,912,159",-1.87%,"675,371",2.02%,"99,785",,"247,133",22.50%,"188,298",9.48%,"345,466",-0.69%,"48,670",-6.40%,"159,540",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Arizona,Montezuma Castle NM,"573,731",-0.83%,"47,811",-0.83%,385,-8.33%,"573,731",-0.83%,99,-8.33%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"10,134,892",-3.90%,"7,920,782",-3.86%,"4,503,011",-1.08%,"95,049,378",-3.86%,"3,912,159",-1.87%,"675,371",2.02%,"99,785",,"247,133",22.50%,"188,298",9.48%,"345,466",-0.69%,"48,670",-6.40%,"159,540",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Arizona,Navajo NM,"87,388",-3.65%,"16,061",-5.78%,"6,348",-50.87%,"192,736",-5.78%,"1,837",-43.16%,0,,0,,"1,388",-14.85%,976,-2.40%,150,-43.40%,0,-50.00%,19,,Subtotal Arizona,"10,134,892",-3.90%,"7,920,782",-3.86%,"4,503,011",-1.08%,"95,049,378",-3.86%,"3,912,159",-1.87%,"675,371",2.02%,"99,785",,"247,133",22.50%,"188,298",9.48%,"345,466",-0.69%,"48,670",-6.40%,"159,540",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Arizona,Organ Pipe Cactus NM,"211,405",0.86%,"34,206",-57.02%,"757,864",-11.84%,"410,467",-57.02%,"378,934",-11.84%,0,,0,,"2,086",-46.89%,"10,592",-44.80%,306,-40.12%,0,-36.51%,40,,Subtotal Arizona,"10,134,892",-3.90%,"7,920,782",-3.86%,"4,503,011",-1.08%,"95,049,378",-3.86%,"3,912,159",-1.87%,"675,371",2.02%,"99,785",,"247,133",22.50%,"188,298",9.48%,"345,466",-0.69%,"48,670",-6.40%,"159,540",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
Arizona,Petrified Forest NP,"614,054",-7.62%,"128,357",-7.23%,120,0.00%,"1,540,281",-7.23%,"52,428",13.36%,0,,0,,0,,0,,252,-16.00%,"4,359",,0,13.40%,Subtotal Arizona,"10,134,892",-3.90%,"7,920,782",-3.86%,"4,503,011",-1.08%,"95,049,378",-3.86%,"3,912,159",-1.87%,"675,371",2.02%,"99,785",,"247,133",22.50%,"188,298",9.48%,"345,466",-0.69%,"48,670",-6.40%,"159,540",,"278,939,216",-0.84%,"100,542,119",-2.66%,"152,781,210",,"1,206,505,415",-2.66%,"80,752,300",,"3,310,297",,"1,209,754",,"3,229,228",,"2,155,317",,"1,715,600",,"217,608",,"2,124,771",
