State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alabama,Horseshoe Bend NMP,"67,776",-6.17%,"13,413",-6.85%,"969,228",4.05%,"160,958",-6.85%,"323,042",4.05%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"781,550",-1.16%,"187,537",0.30%,"1,534,951",-3.57%,"2,250,445",0.30%,"888,765",-8.45%,0,,0,,446,,"1,037",,0,,0,,0,,"281,303,769",-1.50%,"103,285,515",-0.98%,"153,219,034",,"1,239,426,161",-0.98%,"80,497,357",,"3,418,890",,"1,277,618",,"3,277,137",,"2,256,680",,"1,763,529",,"205,873",,"2,378,743",
Alabama,Little River Canyon NPRES,"192,576",1.76%,"20,974",9.17%,0,,"251,685",9.17%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"781,550",-1.16%,"187,537",0.30%,"1,534,951",-3.57%,"2,250,445",0.30%,"888,765",-8.45%,0,,0,,446,,"1,037",,0,,0,,0,,"281,303,769",-1.50%,"103,285,515",-0.98%,"153,219,034",,"1,239,426,161",-0.98%,"80,497,357",,"3,418,890",,"1,277,618",,"3,277,137",,"2,256,680",,"1,763,529",,"205,873",,"2,378,743",
Alabama,Natchez Trace PKWY,"413,767",-0.39%,"139,283",-0.29%,"565,723",-14.33%,"1,671,390",-0.29%,"565,723",-14.33%,0,,0,,446,0.22%,"1,037",16.65%,0,,0,,0,,Subtotal Alabama,"781,550",-1.16%,"187,537",0.30%,"1,534,951",-3.57%,"2,250,445",0.30%,"888,765",-8.45%,0,,0,,446,,"1,037",,0,,0,,0,,"281,303,769",-1.50%,"103,285,515",-0.98%,"153,219,034",,"1,239,426,161",-0.98%,"80,497,357",,"3,418,890",,"1,277,618",,"3,277,137",,"2,256,680",,"1,763,529",,"205,873",,"2,378,743",
Alabama,Russell Cave NM,"23,374",-2.96%,"3,119",-5.53%,0,,"37,433",-5.53%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"781,550",-1.16%,"187,537",0.30%,"1,534,951",-3.57%,"2,250,445",0.30%,"888,765",-8.45%,0,,0,,446,,"1,037",,0,,0,,0,,"281,303,769",-1.50%,"103,285,515",-0.98%,"153,219,034",,"1,239,426,161",-0.98%,"80,497,357",,"3,418,890",,"1,277,618",,"3,277,137",,"2,256,680",,"1,763,529",,"205,873",,"2,378,743",
Alabama,Tuskegee Airmen NHS,"60,827",4.13%,"7,604",4.12%,0,,"91,243",4.12%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"781,550",-1.16%,"187,537",0.30%,"1,534,951",-3.57%,"2,250,445",0.30%,"888,765",-8.45%,0,,0,,446,,"1,037",,0,,0,,0,,"281,303,769",-1.50%,"103,285,515",-0.98%,"153,219,034",,"1,239,426,161",-0.98%,"80,497,357",,"3,418,890",,"1,277,618",,"3,277,137",,"2,256,680",,"1,763,529",,"205,873",,"2,378,743",
Alabama,Tuskegee Institute NHS,"23,230",-25.92%,"3,145",2.22%,0,,"37,736",2.22%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"781,550",-1.16%,"187,537",0.30%,"1,534,951",-3.57%,"2,250,445",0.30%,"888,765",-8.45%,0,,0,,446,,"1,037",,0,,0,,0,,"281,303,769",-1.50%,"103,285,515",-0.98%,"153,219,034",,"1,239,426,161",-0.98%,"80,497,357",,"3,418,890",,"1,277,618",,"3,277,137",,"2,256,680",,"1,763,529",,"205,873",,"2,378,743",
Alaska,Aniakchak NM & PRES,62,342.86%,646,,0,,"7,752",,0,-100.00%,0,,0,,0,,0,,312,,0,,0,-100.00%,Subtotal Alaska,"2,274,843",-0.16%,"1,677,649",4.20%,"874,802",,"20,131,790",,"377,653",7.46%,"7,171",,0,,"29,411",,"43,486",,"73,750",,"7,098",,"6,752",-19.70%,"281,303,769",-1.50%,"103,285,515",-0.98%,"153,219,034",,"1,239,426,161",-0.98%,"80,497,357",,"3,418,890",,"1,277,618",,"3,277,137",,"2,256,680",,"1,763,529",,"205,873",,"2,378,743",
Alaska,Bering Land Bridge NPRES,"2,642",150.66%,661,150.66%,"1,128",0.71%,"7,926",150.66%,"9,024",0.71%,0,,0,,0,,0,,"1,123",31.19%,360,,0,-68.14%,Subtotal Alaska,"2,274,843",-0.16%,"1,677,649",4.20%,"874,802",,"20,131,790",,"377,653",7.46%,"7,171",,0,,"29,411",,"43,486",,"73,750",,"7,098",,"6,752",-19.70%,"281,303,769",-1.50%,"103,285,515",-0.98%,"153,219,034",,"1,239,426,161",-0.98%,"80,497,357",,"3,418,890",,"1,277,618",,"3,277,137",,"2,256,680",,"1,763,529",,"205,873",,"2,378,743",
Alaska,Cape Krusenstern NM,"2,521",39.28%,393,28.15%,390,-61.76%,"4,721",28.15%,"3,120",-61.76%,0,,0,,0,,0,,427,-35.50%,292,,0,-73.76%,Subtotal Alaska,"2,274,843",-0.16%,"1,677,649",4.20%,"874,802",,"20,131,790",,"377,653",7.46%,"7,171",,0,,"29,411",,"43,486",,"73,750",,"7,098",,"6,752",-19.70%,"281,303,769",-1.50%,"103,285,515",-0.98%,"153,219,034",,"1,239,426,161",-0.98%,"80,497,357",,"3,418,890",,"1,277,618",,"3,277,137",,"2,256,680",,"1,763,529",,"205,873",,"2,378,743",
Alaska,Denali NP & PRES,"378,855",5.81%,"512,714",12.21%,"872,110",5.49%,"6,152,569",12.21%,"218,029",5.49%,0,,0,,"22,570",19.69%,"43,486",8.93%,"38,625",29.38%,0,16.39%,"1,427",,Subtotal Alaska,"2,274,843",-0.16%,"1,677,649",4.20%,"874,802",,"20,131,790",,"377,653",7.46%,"7,171",,0,,"29,411",,"43,486",,"73,750",,"7,098",,"6,752",-19.70%,"281,303,769",-1.50%,"103,285,515",-0.98%,"153,219,034",,"1,239,426,161",-0.98%,"80,497,357",,"3,418,890",,"1,277,618",,"3,277,137",,"2,256,680",,"1,763,529",,"205,873",,"2,378,743",
