State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alabama,Horseshoe Bend NMP,"64,359",15.00%,"12,418",9.55%,"972,158",0.10%,"149,014",9.55%,"324,019",0.10%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"753,178",0.44%,"179,300",-2.40%,"1,644,232",3.84%,"2,151,604",-2.40%,"996,093",6.42%,0,,0,,362,,494,,0,,0,,0,,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Alabama,Little River Canyon NPRES,"224,931",21.27%,"20,706",16.33%,0,,"248,467",16.33%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"753,178",0.44%,"179,300",-2.40%,"1,644,232",3.84%,"2,151,604",-2.40%,"996,093",6.42%,0,,0,,362,,494,,0,,0,,0,,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Alabama,Natchez Trace PKWY,"409,253",-2.77%,"137,203",-2.86%,"672,074",9.76%,"1,646,437",-2.86%,"672,074",9.76%,0,,0,,362,-4.99%,494,-23.77%,0,,0,,0,,Subtotal Alabama,"753,178",0.44%,"179,300",-2.40%,"1,644,232",3.84%,"2,151,604",-2.40%,"996,093",6.42%,0,,0,,362,,494,,0,,0,,0,,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Alabama,Russell Cave NM,"18,530",-9.42%,"2,617",-11.63%,0,,"31,404",-11.63%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"753,178",0.44%,"179,300",-2.40%,"1,644,232",3.84%,"2,151,604",-2.40%,"996,093",6.42%,0,,0,,362,,494,,0,,0,,0,,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Alabama,Tuskegee Airmen NHS,"24,319",26.00%,"3,040",25.99%,0,,"36,478",25.99%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"753,178",0.44%,"179,300",-2.40%,"1,644,232",3.84%,"2,151,604",-2.40%,"996,093",6.42%,0,,0,,362,,494,,0,,0,,0,,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Alabama,Tuskegee Institute NHS,"11,786",-75.33%,"3,317",-58.33%,0,,"39,804",-58.33%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"753,178",0.44%,"179,300",-2.40%,"1,644,232",3.84%,"2,151,604",-2.40%,"996,093",6.42%,0,,0,,362,,494,,0,,0,,0,,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Alaska,Aniakchak NM & PRES,134,0.00%,762,0.00%,0,,"9,144",0.00%,0,,0,,0,,0,,0,,381,0.00%,0,,0,,Subtotal Alaska,"2,684,693",3.82%,"1,939,039",2.30%,"839,081",,"23,268,469",2.30%,"320,547",,"15,935",,0,,"31,135",,"45,413",,"70,146",-27.37%,"6,422",,"27,997",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Alaska,Bering Land Bridge NPRES,"2,636",-0.23%,659,-0.23%,"1,128",0.00%,"7,908",-0.23%,"9,024",0.00%,0,,0,,0,,0,,"1,123",0.00%,482,,0,33.89%,Subtotal Alaska,"2,684,693",3.82%,"1,939,039",2.30%,"839,081",,"23,268,469",2.30%,"320,547",,"15,935",,0,,"31,135",,"45,413",,"70,146",-27.37%,"6,422",,"27,997",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Alaska,Cape Krusenstern NM,0,-100.00%,0,-100.00%,0,-100.00%,0,-100.00%,0,-100.00%,0,,0,,0,,0,,0,-100.00%,0,,0,-100.00%,Subtotal Alaska,"2,684,693",3.82%,"1,939,039",2.30%,"839,081",,"23,268,469",2.30%,"320,547",,"15,935",,0,,"31,135",,"45,413",,"70,146",-27.37%,"6,422",,"27,997",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Alaska,Denali NP & PRES,"531,315",0.07%,"587,678",-0.05%,"837,617",-0.12%,"7,052,133",-0.05%,"209,403",-0.12%,0,,0,,"25,873",19.54%,"45,413",-6.86%,"38,443",1.53%,0,1.27%,"1,511",,Subtotal Alaska,"2,684,693",3.82%,"1,939,039",2.30%,"839,081",,"23,268,469",2.30%,"320,547",,"15,935",,0,,"31,135",,"45,413",,"70,146",-27.37%,"6,422",,"27,997",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Alaska,Gates of the Arctic NP & PRES,"12,669",15.05%,"12,834",-18.32%,0,-100.00%,"154,006",-18.32%,0,-100.00%,0,,0,,0,,0,,"6,166",-19.36%,0,,0,-100.00%,Subtotal Alaska,"2,684,693",3.82%,"1,939,039",2.30%,"839,081",,"23,268,469",2.30%,"320,547",,"15,935",,0,,"31,135",,"45,413",,"70,146",-27.37%,"6,422",,"27,997",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Alaska,Glacier Bay NP & PRES,"500,727",0.03%,"567,054",7.80%,336,-43.53%,"6,804,649",7.80%,"102,120",-22.07%,"11,719",2.44%,0,,764,-5.33%,0,,"6,303",56.87%,"4,255",348.61%,"26,486",-22.07%,Subtotal Alaska,"2,684,693",3.82%,"1,939,039",2.30%,"839,081",,"23,268,469",2.30%,"320,547",,"15,935",,0,,"31,135",,"45,413",,"70,146",-27.37%,"6,422",,"27,997",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Alaska,Katmai NP & PRES,"30,896",6.66%,"27,784",-3.18%,0,,"333,411",-3.18%,0,,"4,216",0.00%,0,,"1,898",-34.12%,0,,483,0.00%,0,,0,,Subtotal Alaska,"2,684,693",3.82%,"1,939,039",2.30%,"839,081",,"23,268,469",2.30%,"320,547",,"15,935",,0,,"31,135",,"45,413",,"70,146",-27.37%,"6,422",,"27,997",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Alaska,Kenai Fjords NP,"270,666",-4.53%,"70,311",-6.24%,0,,"843,730",-6.24%,0,,0,,0,,"1,130",37.47%,0,,432,54.84%,0,,0,,Subtotal Alaska,"2,684,693",3.82%,"1,939,039",2.30%,"839,081",,"23,268,469",2.30%,"320,547",,"15,935",,0,,"31,135",,"45,413",,"70,146",-27.37%,"6,422",,"27,997",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Alaska,Klondike Gold Rush NHP Alaska,"1,085,202",16.92%,"349,496",11.71%,0,,"4,193,953",11.71%,0,,0,,0,,"1,470",-20.45%,0,,"4,170",-0.83%,0,,0,,Subtotal Alaska,"2,684,693",3.82%,"1,939,039",2.30%,"839,081",,"23,268,469",2.30%,"320,547",,"15,935",,0,,"31,135",,"45,413",,"70,146",-27.37%,"6,422",,"27,997",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Alaska,Kobuk Valley NP,0,-100.00%,0,-100.00%,0,-100.00%,0,-100.00%,0,-100.00%,0,,0,,0,,0,,0,-100.00%,0,,0,-100.00%,Subtotal Alaska,"2,684,693",3.82%,"1,939,039",2.30%,"839,081",,"23,268,469",2.30%,"320,547",,"15,935",,0,,"31,135",,"45,413",,"70,146",-27.37%,"6,422",,"27,997",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Alaska,Lake Clark NP & PRES,"16,100",23.85%,"6,669",2.24%,0,,"80,028",2.24%,0,,0,,0,,0,,0,,"2,174",-8.50%,0,,0,,Subtotal Alaska,"2,684,693",3.82%,"1,939,039",2.30%,"839,081",,"23,268,469",2.30%,"320,547",,"15,935",,0,,"31,135",,"45,413",,"70,146",-27.37%,"6,422",,"27,997",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Alaska,Noatak NPRES,0,-100.00%,0,-100.00%,0,-100.00%,0,-100.00%,0,-100.00%,0,,0,,0,,0,,0,-100.00%,0,,0,-100.00%,Subtotal Alaska,"2,684,693",3.82%,"1,939,039",2.30%,"839,081",,"23,268,469",2.30%,"320,547",,"15,935",,0,,"31,135",,"45,413",,"70,146",-27.37%,"6,422",,"27,997",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Alaska,Sitka NHP,"157,297",-2.40%,"8,030",-2.15%,0,,"96,359",-2.15%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alaska,"2,684,693",3.82%,"1,939,039",2.30%,"839,081",,"23,268,469",2.30%,"320,547",,"15,935",,0,,"31,135",,"45,413",,"70,146",-27.37%,"6,422",,"27,997",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Alaska,Wrangell-St. Elias NP & PRES,"74,722",6.77%,"286,432",6.77%,0,,"3,437,186",6.77%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alaska,"2,684,693",3.82%,"1,939,039",2.30%,"839,081",,"23,268,469",2.30%,"320,547",,"15,935",,0,,"31,135",,"45,413",,"70,146",-27.37%,"6,422",,"27,997",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Alaska,Yukon-Charley Rivers NPRES,"2,329",-40.50%,"21,330",-50.99%,0,,"255,962",-50.99%,0,,0,,0,,0,,0,,"10,471",-51.15%,"1,685",,0,52.49%,Subtotal Alaska,"2,684,693",3.82%,"1,939,039",2.30%,"839,081",,"23,268,469",2.30%,"320,547",,"15,935",,0,,"31,135",,"45,413",,"70,146",-27.37%,"6,422",,"27,997",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
American Samoa,National Park of American Samoa,"13,953",-22.13%,"2,325",-22.14%,0,,"27,903",-22.14%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal American Samoa,"13,953",-22.13%,"2,325",-22.14%,0,,"27,903",-22.14%,0,,0,,0,,0,,0,,0,,0,,0,,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Arizona,Canyon de Chelly NM,"827,761",-0.09%,"431,354",-2.32%,"1,219,133",-0.11%,"5,176,249",-2.32%,"2,438,266",-0.11%,"5,891",-64.50%,"10,755",5.02%,0,,0,,827,56.93%,0,,0,,Subtotal Arizona,"10,747,219",6.37%,"8,561,488",4.23%,"5,117,056",0.45%,"102,737,858",4.23%,"4,057,317",1.32%,"685,089",10.87%,"90,887",7.68%,"111,043",,"91,266",,"319,524",12.27%,"23,576",,"150,059",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Arizona,Casa Grande Ruins NM,"63,698",-2.16%,"7,230",-2.16%,"2,160",0.00%,"86,762",-2.16%,216,0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"10,747,219",6.37%,"8,561,488",4.23%,"5,117,056",0.45%,"102,737,858",4.23%,"4,057,317",1.32%,"685,089",10.87%,"90,887",7.68%,"111,043",,"91,266",,"319,524",12.27%,"23,576",,"150,059",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Arizona,Chiricahua NM,"45,125",11.02%,"18,937",20.57%,"3,600",0.00%,"227,245",20.57%,"1,200",0.00%,0,,0,,"3,931",54.52%,"4,263",28.21%,0,,0,1.17%,520,,Subtotal Arizona,"10,747,219",6.37%,"8,561,488",4.23%,"5,117,056",0.45%,"102,737,858",4.23%,"4,057,317",1.32%,"685,089",10.87%,"90,887",7.68%,"111,043",,"91,266",,"319,524",12.27%,"23,576",,"150,059",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Arizona,Coronado NMEM,"118,838",27.87%,"10,755",9.40%,"2,508",0.00%,"129,058",9.40%,"1,248",0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"10,747,219",6.37%,"8,561,488",4.23%,"5,117,056",0.45%,"102,737,858",4.23%,"4,057,317",1.32%,"685,089",10.87%,"90,887",7.68%,"111,043",,"91,266",,"319,524",12.27%,"23,576",,"150,059",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Arizona,Fort Bowie NHS,"6,964",-13.83%,"1,161",-13.83%,0,,"13,928",-13.83%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"10,747,219",6.37%,"8,561,488",4.23%,"5,117,056",0.45%,"102,737,858",4.23%,"4,057,317",1.32%,"685,089",10.87%,"90,887",7.68%,"111,043",,"91,266",,"319,524",12.27%,"23,576",,"150,059",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Arizona,Glen Canyon NRA,"189,476",18.90%,"286,255",11.61%,"1,802",7.07%,"3,435,058",11.61%,"21,622",7.04%,"5,954",30.80%,"8,263",31.58%,477,28.92%,580,15.77%,"4,989",22.31%,0,-6.90%,"97,853",,Subtotal Arizona,"10,747,219",6.37%,"8,561,488",4.23%,"5,117,056",0.45%,"102,737,858",4.23%,"4,057,317",1.32%,"685,089",10.87%,"90,887",7.68%,"111,043",,"91,266",,"319,524",12.27%,"23,576",,"150,059",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Arizona,Grand Canyon NP,"4,756,771",4.20%,"6,246,966",3.43%,"50,367",15.34%,"74,963,591",3.43%,"50,367",15.34%,"667,988",12.75%,"61,203",31.20%,"73,502",-33.92%,"34,904",-34.69%,"269,236",14.63%,0,33.90%,"36,537",,Subtotal Arizona,"10,747,219",6.37%,"8,561,488",4.23%,"5,117,056",0.45%,"102,737,858",4.23%,"4,057,317",1.32%,"685,089",10.87%,"90,887",7.68%,"111,043",,"91,266",,"319,524",12.27%,"23,576",,"150,059",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Arizona,Hubbell Trading Post NHS,"81,475",7.66%,"3,508",7.66%,"4,584",0.00%,"42,095",7.66%,"1,056",0.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Arizona,"10,747,219",6.37%,"8,561,488",4.23%,"5,117,056",0.45%,"102,737,858",4.23%,"4,057,317",1.32%,"685,089",10.87%,"90,887",7.68%,"111,043",,"91,266",,"319,524",12.27%,"23,576",,"150,059",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
Arizona,Lake Mead NRA,"1,735,718",9.43%,"1,116,644",6.42%,"62,953",9.43%,"13,399,732",6.42%,"377,721",9.43%,"5,256",21.69%,"10,666",-49.76%,"28,357",8.89%,"36,091",8.88%,"42,203",-0.94%,"23,576",4.69%,"15,050",-24.53%,Subtotal Arizona,"10,747,219",6.37%,"8,561,488",4.23%,"5,117,056",0.45%,"102,737,858",4.23%,"4,057,317",1.32%,"685,089",10.87%,"90,887",7.68%,"111,043",,"91,266",,"319,524",12.27%,"23,576",,"150,059",,"292,800,082",7.01%,"104,431,326",6.43%,"168,795,627",,"1,253,175,898",6.43%,"90,708,750",,"3,395,572",,"1,263,606",,"3,246,307",,"2,053,953",,"1,888,084",,"117,221",,"2,158,461",
