State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alabama,Horseshoe Bend NMP,"89,282",38.72%,"17,919",44.30%,"971,895",-0.03%,"215,027",44.30%,"323,934",-0.03%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"792,477",5.22%,"184,872",3.11%,"1,469,509",-10.63%,"2,218,463",3.11%,"821,548",-17.52%,0,,0,,363,,657,,0,,0,,0,,"307,247,252",4.93%,"111,187,409",6.47%,"173,060,668",,"1,334,248,887",6.47%,"91,746,393",,"3,385,744",,"1,421,209",,"3,680,796",,"2,260,186",,"2,020,057",,"112,258",,"2,151,434",
Alabama,Little River Canyon NPRES,"248,135",10.32%,"22,584",9.07%,0,,"271,004",9.07%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"792,477",5.22%,"184,872",3.11%,"1,469,509",-10.63%,"2,218,463",3.11%,"821,548",-17.52%,0,,0,,363,,657,,0,,0,,0,,"307,247,252",4.93%,"111,187,409",6.47%,"173,060,668",,"1,334,248,887",6.47%,"91,746,393",,"3,385,744",,"1,421,209",,"3,680,796",,"2,260,186",,"2,020,057",,"112,258",,"2,151,434",
Alabama,Natchez Trace PKWY,"405,007",-1.04%,"135,938",-0.92%,"497,614",-25.96%,"1,631,254",-0.92%,"497,614",-25.96%,0,,0,,363,0.28%,657,33.00%,0,,0,,0,,Subtotal Alabama,"792,477",5.22%,"184,872",3.11%,"1,469,509",-10.63%,"2,218,463",3.11%,"821,548",-17.52%,0,,0,,363,,657,,0,,0,,0,,"307,247,252",4.93%,"111,187,409",6.47%,"173,060,668",,"1,334,248,887",6.47%,"91,746,393",,"3,385,744",,"1,421,209",,"3,680,796",,"2,260,186",,"2,020,057",,"112,258",,"2,151,434",
Alabama,Russell Cave NM,"19,430",4.86%,"2,741",4.74%,0,,"32,892",4.74%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"792,477",5.22%,"184,872",3.11%,"1,469,509",-10.63%,"2,218,463",3.11%,"821,548",-17.52%,0,,0,,363,,657,,0,,0,,0,,"307,247,252",4.93%,"111,187,409",6.47%,"173,060,668",,"1,334,248,887",6.47%,"91,746,393",,"3,385,744",,"1,421,209",,"3,680,796",,"2,260,186",,"2,020,057",,"112,258",,"2,151,434",
Alabama,Tuskegee Airmen NHS,"22,662",-6.81%,"2,833",-6.82%,0,,"33,990",-6.82%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"792,477",5.22%,"184,872",3.11%,"1,469,509",-10.63%,"2,218,463",3.11%,"821,548",-17.52%,0,,0,,363,,657,,0,,0,,0,,"307,247,252",4.93%,"111,187,409",6.47%,"173,060,668",,"1,334,248,887",6.47%,"91,746,393",,"3,385,744",,"1,421,209",,"3,680,796",,"2,260,186",,"2,020,057",,"112,258",,"2,151,434",
Alabama,Tuskegee Institute NHS,"7,961",-32.45%,"2,858",-13.84%,0,,"34,296",-13.84%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"792,477",5.22%,"184,872",3.11%,"1,469,509",-10.63%,"2,218,463",3.11%,"821,548",-17.52%,0,,0,,363,,657,,0,,0,,0,,"307,247,252",4.93%,"111,187,409",6.47%,"173,060,668",,"1,334,248,887",6.47%,"91,746,393",,"3,385,744",,"1,421,209",,"3,680,796",,"2,260,186",,"2,020,057",,"112,258",,"2,151,434",
Alaska,Aniakchak NM & PRES,153,14.18%,600,-21.26%,0,,"7,200",-21.26%,0,,0,,0,,0,,0,,300,-21.26%,0,,0,,Subtotal Alaska,"2,664,293",-0.76%,"1,980,024",2.11%,"822,608",,"23,760,285",2.11%,"302,527",,"15,454",,0,,"61,162",,"33,897",,"63,966",-8.81%,"5,095",,"12,479",,"307,247,252",4.93%,"111,187,409",6.47%,"173,060,668",,"1,334,248,887",6.47%,"91,746,393",,"3,385,744",,"1,421,209",,"3,680,796",,"2,260,186",,"2,020,057",,"112,258",,"2,151,434",
Alaska,Bering Land Bridge NPRES,"2,642",0.23%,661,0.23%,"1,128",0.00%,"7,926",0.23%,"9,024",0.00%,0,,0,,0,,0,,"1,123",0.00%,360,,0,-25.31%,Subtotal Alaska,"2,664,293",-0.76%,"1,980,024",2.11%,"822,608",,"23,760,285",2.11%,"302,527",,"15,454",,0,,"61,162",,"33,897",,"63,966",-8.81%,"5,095",,"12,479",,"307,247,252",4.93%,"111,187,409",6.47%,"173,060,668",,"1,334,248,887",6.47%,"91,746,393",,"3,385,744",,"1,421,209",,"3,680,796",,"2,260,186",,"2,020,057",,"112,258",,"2,151,434",
Alaska,Cape Krusenstern NM,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alaska,"2,664,293",-0.76%,"1,980,024",2.11%,"822,608",,"23,760,285",2.11%,"302,527",,"15,454",,0,,"61,162",,"33,897",,"63,966",-8.81%,"5,095",,"12,479",,"307,247,252",4.93%,"111,187,409",6.47%,"173,060,668",,"1,334,248,887",6.47%,"91,746,393",,"3,385,744",,"1,421,209",,"3,680,796",,"2,260,186",,"2,020,057",,"112,258",,"2,151,434",
Alaska,Denali NP & PRES,"560,757",5.54%,"634,190",7.91%,"821,207",-1.96%,"7,610,285",7.91%,"205,303",-1.96%,0,,0,,"54,708",111.45%,"33,897",-25.36%,"35,785",-6.91%,0,42.89%,"2,159",,Subtotal Alaska,"2,664,293",-0.76%,"1,980,024",2.11%,"822,608",,"23,760,285",2.11%,"302,527",,"15,454",,0,,"61,162",,"33,897",,"63,966",-8.81%,"5,095",,"12,479",,"307,247,252",4.93%,"111,187,409",6.47%,"173,060,668",,"1,334,248,887",6.47%,"91,746,393",,"3,385,744",,"1,421,209",,"3,680,796",,"2,260,186",,"2,020,057",,"112,258",,"2,151,434",
