State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alaska,Gates of the Arctic NP & PRES,"10,047",-6.50%,"16,323",-15.65%,0,,"195,870",-15.65%,0,,0,,0,,0,,0,,"7,971",-15.86%,0,,0,,Subtotal Alaska,"2,783,011",4.46%,"2,040,786",3.07%,"831,224",,"24,489,438",3.07%,"562,340",,"15,232",,0,,"57,238",,"21,257",,"99,465",55.50%,"25,820",,"14,289",,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Alaska,Glacier Bay NP & PRES,"520,171",-5.66%,"560,602",-4.48%,600,119.78%,"6,727,227",-4.48%,"161,880",83.54%,"11,016",-1.98%,0,,908,37.99%,0,,"6,161",-1.49%,"6,745",38.46%,"14,289",83.54%,Subtotal Alaska,"2,783,011",4.46%,"2,040,786",3.07%,"831,224",,"24,489,438",3.07%,"562,340",,"15,232",,0,,"57,238",,"21,257",,"99,465",55.50%,"25,820",,"14,289",,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Alaska,Katmai NP & PRES,"37,818",0.00%,"19,441",0.00%,0,,"233,289",0.00%,0,,"4,216",0.00%,0,,"2,098",0.00%,0,,483,0.00%,0,,0,,Subtotal Alaska,"2,783,011",4.46%,"2,040,786",3.07%,"831,224",,"24,489,438",3.07%,"562,340",,"15,232",,0,,"57,238",,"21,257",,"99,465",55.50%,"25,820",,"14,289",,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Alaska,Kenai Fjords NP,"346,534",16.80%,"96,630",23.85%,0,,"1,159,562",23.85%,0,,0,,0,,"1,514",5.58%,0,,648,1.25%,0,,0,,Subtotal Alaska,"2,783,011",4.46%,"2,040,786",3.07%,"831,224",,"24,489,438",3.07%,"562,340",,"15,232",,0,,"57,238",,"21,257",,"99,465",55.50%,"25,820",,"14,289",,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Alaska,Klondike Gold Rush NHP Alaska,"912,351",-0.79%,"306,812",-0.97%,0,,"3,681,739",-0.97%,0,,0,,0,,"2,449",8.17%,0,,"5,061",11.01%,0,,0,,Subtotal Alaska,"2,783,011",4.46%,"2,040,786",3.07%,"831,224",,"24,489,438",3.07%,"562,340",,"15,232",,0,,"57,238",,"21,257",,"99,465",55.50%,"25,820",,"14,289",,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Alaska,Kobuk Valley NP,"15,500",,"4,242",,"7,750",,"50,900",,"62,000",,0,,0,,0,,0,,"7,050",,"7,100",,0,,Subtotal Alaska,"2,783,011",4.46%,"2,040,786",3.07%,"831,224",,"24,489,438",3.07%,"562,340",,"15,232",,0,,"57,238",,"21,257",,"99,465",55.50%,"25,820",,"14,289",,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Alaska,Lake Clark NP & PRES,"21,102",18.43%,"15,408",122.00%,0,,"184,896",122.00%,0,,0,,0,,0,,0,,"6,486",199.45%,0,,0,,Subtotal Alaska,"2,783,011",4.46%,"2,040,786",3.07%,"831,224",,"24,489,438",3.07%,"562,340",,"15,232",,0,,"57,238",,"21,257",,"99,465",55.50%,"25,820",,"14,289",,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Alaska,Noatak NPRES,"17,000",,"17,917",,"8,500",,"215,000",,"68,000",,0,,0,,0,,0,,"5,500",,"5,650",,0,,Subtotal Alaska,"2,783,011",4.46%,"2,040,786",3.07%,"831,224",,"24,489,438",3.07%,"562,340",,"15,232",,0,,"57,238",,"21,257",,"99,465",55.50%,"25,820",,"14,289",,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Alaska,Sitka NHP,"217,141",17.28%,"11,234",18.44%,0,,"134,802",18.44%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alaska,"2,783,011",4.46%,"2,040,786",3.07%,"831,224",,"24,489,438",3.07%,"562,340",,"15,232",,0,,"57,238",,"21,257",,"99,465",55.50%,"25,820",,"14,289",,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
Alaska,Wrangell-St. Elias NP & PRES,"79,047",-1.64%,"303,018",-1.64%,0,,"3,636,217",-1.64%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alaska,"2,783,011",4.46%,"2,040,786",3.07%,"831,224",,"24,489,438",3.07%,"562,340",,"15,232",,0,,"57,238",,"21,257",,"99,465",55.50%,"25,820",,"14,289",,"330,971,688",7.72%,"118,972,056",7.00%,"172,285,613",,"1,427,664,651",7.00%,"92,895,779",,"3,272,020",,"1,294,569",,"3,858,147",,"2,543,209",,"2,154,687",,"150,982",,"2,156,804",
