State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alabama,Horseshoe Bend NMP,"58,668",-10.96%,"11,647",-13.84%,"985,114",6.76%,"139,761",-13.84%,"328,339",6.76%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"717,724",-4.97%,"172,689",-4.76%,"1,503,936",-2.09%,"2,072,262",-4.76%,"847,161",-7.99%,0,,0,,412,,937,,0,,0,,0,,"282,765,682",1.37%,"102,359,869",1.81%,"149,441,166",,"1,228,318,405",1.81%,"77,197,868",,"3,297,075",,"1,255,587",,"3,203,400",,"2,121,634",,"1,816,892",,"225,238",,"2,379,700",
Alabama,Little River Canyon NPRES,"201,109",-10.84%,"20,672",-12.88%,0,,"248,066",-12.88%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"717,724",-4.97%,"172,689",-4.76%,"1,503,936",-2.09%,"2,072,262",-4.76%,"847,161",-7.99%,0,,0,,412,,937,,0,,0,,0,,"282,765,682",1.37%,"102,359,869",1.81%,"149,441,166",,"1,228,318,405",1.81%,"77,197,868",,"3,297,075",,"1,255,587",,"3,203,400",,"2,121,634",,"1,816,892",,"225,238",,"2,379,700",
Alabama,Natchez Trace PKWY,"389,247",-3.55%,"130,986",-3.64%,"518,822",-15.39%,"1,571,833",-3.64%,"518,822",-15.39%,0,,0,,412,-36.81%,937,6.00%,0,,0,,0,,Subtotal Alabama,"717,724",-4.97%,"172,689",-4.76%,"1,503,936",-2.09%,"2,072,262",-4.76%,"847,161",-7.99%,0,,0,,412,,937,,0,,0,,0,,"282,765,682",1.37%,"102,359,869",1.81%,"149,441,166",,"1,228,318,405",1.81%,"77,197,868",,"3,297,075",,"1,255,587",,"3,203,400",,"2,121,634",,"1,816,892",,"225,238",,"2,379,700",
Alabama,Russell Cave NM,"20,954",1.14%,"2,932",3.74%,0,,"35,186",3.74%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"717,724",-4.97%,"172,689",-4.76%,"1,503,936",-2.09%,"2,072,262",-4.76%,"847,161",-7.99%,0,,0,,412,,937,,0,,0,,0,,"282,765,682",1.37%,"102,359,869",1.81%,"149,441,166",,"1,228,318,405",1.81%,"77,197,868",,"3,297,075",,"1,255,587",,"3,203,400",,"2,121,634",,"1,816,892",,"225,238",,"2,379,700",
Alabama,Tuskegee Airmen NHS,"23,716",46.00%,"2,964",45.99%,0,,"35,573",45.99%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"717,724",-4.97%,"172,689",-4.76%,"1,503,936",-2.09%,"2,072,262",-4.76%,"847,161",-7.99%,0,,0,,412,,937,,0,,0,,0,,"282,765,682",1.37%,"102,359,869",1.81%,"149,441,166",,"1,228,318,405",1.81%,"77,197,868",,"3,297,075",,"1,255,587",,"3,203,400",,"2,121,634",,"1,816,892",,"225,238",,"2,379,700",
Alabama,Tuskegee Institute NHS,"24,030",3.19%,"3,487",6.03%,0,,"41,843",6.03%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"717,724",-4.97%,"172,689",-4.76%,"1,503,936",-2.09%,"2,072,262",-4.76%,"847,161",-7.99%,0,,0,,412,,937,,0,,0,,0,,"282,765,682",1.37%,"102,359,869",1.81%,"149,441,166",,"1,228,318,405",1.81%,"77,197,868",,"3,297,075",,"1,255,587",,"3,203,400",,"2,121,634",,"1,816,892",,"225,238",,"2,379,700",
Alaska,Aniakchak NM & PRES,19,-66.67%,46,-86.23%,0,-100.00%,552,-86.23%,0,-100.00%,0,,0,,0,,0,,23,-85.26%,0,,0,,Subtotal Alaska,"2,412,524",3.37%,"1,853,285",8.74%,"928,823",5.32%,"22,239,418",8.74%,"699,519",50.08%,"15,794",,0,,"24,511",,"50,337",,"94,006",18.99%,"31,360",,"16,966",,"282,765,682",1.37%,"102,359,869",1.81%,"149,441,166",,"1,228,318,405",1.81%,"77,197,868",,"3,297,075",,"1,255,587",,"3,203,400",,"2,121,634",,"1,816,892",,"225,238",,"2,379,700",
Alaska,Bering Land Bridge NPRES,"2,642",39.79%,661,39.79%,"1,098",6.71%,"7,926",39.79%,"8,784",6.71%,0,,0,,0,,0,,"1,123",1.81%,360,,0,-10.00%,Subtotal Alaska,"2,412,524",3.37%,"1,853,285",8.74%,"928,823",5.32%,"22,239,418",8.74%,"699,519",50.08%,"15,794",,0,,"24,511",,"50,337",,"94,006",18.99%,"31,360",,"16,966",,"282,765,682",1.37%,"102,359,869",1.81%,"149,441,166",,"1,228,318,405",1.81%,"77,197,868",,"3,297,075",,"1,255,587",,"3,203,400",,"2,121,634",,"1,816,892",,"225,238",,"2,379,700",
Alaska,Cape Krusenstern NM,"24,950",187.84%,"4,629",224.17%,"11,600",213.34%,"55,550",224.17%,"92,800",213.34%,0,,0,,0,,0,,"6,500",49.94%,"6,550",,0,33.62%,Subtotal Alaska,"2,412,524",3.37%,"1,853,285",8.74%,"928,823",5.32%,"22,239,418",8.74%,"699,519",50.08%,"15,794",,0,,"24,511",,"50,337",,"94,006",18.99%,"31,360",,"16,966",,"282,765,682",1.37%,"102,359,869",1.81%,"149,441,166",,"1,228,318,405",1.81%,"77,197,868",,"3,297,075",,"1,255,587",,"3,203,400",,"2,121,634",,"1,816,892",,"225,238",,"2,379,700",
Alaska,Denali NP & PRES,"388,433",-4.46%,"550,444",-2.30%,"885,179",2.17%,"6,605,331",-2.30%,"221,295",2.17%,0,,0,,"17,129",-18.29%,"50,335",8.92%,"41,685",4.44%,0,-37.49%,"1,224",,Subtotal Alaska,"2,412,524",3.37%,"1,853,285",8.74%,"928,823",5.32%,"22,239,418",8.74%,"699,519",50.08%,"15,794",,0,,"24,511",,"50,337",,"94,006",18.99%,"31,360",,"16,966",,"282,765,682",1.37%,"102,359,869",1.81%,"149,441,166",,"1,228,318,405",1.81%,"77,197,868",,"3,297,075",,"1,255,587",,"3,203,400",,"2,121,634",,"1,816,892",,"225,238",,"2,379,700",
Alaska,Gates of the Arctic NP & PRES,"10,899",-6.23%,"11,841",-13.01%,0,,"142,091",-13.01%,0,,0,,0,,0,,0,,"5,708",-13.20%,0,,0,,Subtotal Alaska,"2,412,524",3.37%,"1,853,285",8.74%,"928,823",5.32%,"22,239,418",8.74%,"699,519",50.08%,"15,794",,0,,"24,511",,"50,337",,"94,006",18.99%,"31,360",,"16,966",,"282,765,682",1.37%,"102,359,869",1.81%,"149,441,166",,"1,228,318,405",1.81%,"77,197,868",,"3,297,075",,"1,255,587",,"3,203,400",,"2,121,634",,"1,816,892",,"225,238",,"2,379,700",
Alaska,Glacier Bay NP & PRES,"454,337",5.17%,"491,825",5.55%,396,-7.48%,"5,901,896",5.55%,"132,240",2.51%,"11,575",-15.29%,0,,628,-22.47%,0,,"5,381",13.62%,"5,510",61.90%,"15,742",2.51%,Subtotal Alaska,"2,412,524",3.37%,"1,853,285",8.74%,"928,823",5.32%,"22,239,418",8.74%,"699,519",50.08%,"15,794",,0,,"24,511",,"50,337",,"94,006",18.99%,"31,360",,"16,966",,"282,765,682",1.37%,"102,359,869",1.81%,"149,441,166",,"1,228,318,405",1.81%,"77,197,868",,"3,297,075",,"1,255,587",,"3,203,400",,"2,121,634",,"1,816,892",,"225,238",,"2,379,700",
Alaska,Katmai NP & PRES,"39,818",-18.64%,"35,067",19.48%,0,-100.00%,"420,807",19.48%,0,-100.00%,"4,219",10.30%,0,,"3,547",-11.63%,0,,"2,754",588.50%,0,,0,,Subtotal Alaska,"2,412,524",3.37%,"1,853,285",8.74%,"928,823",5.32%,"22,239,418",8.74%,"699,519",50.08%,"15,794",,0,,"24,511",,"50,337",,"94,006",18.99%,"31,360",,"16,966",,"282,765,682",1.37%,"102,359,869",1.81%,"149,441,166",,"1,228,318,405",1.81%,"77,197,868",,"3,297,075",,"1,255,587",,"3,203,400",,"2,121,634",,"1,816,892",,"225,238",,"2,379,700",
Alaska,Kenai Fjords NP,"281,279",-18.91%,"74,154",-3.68%,0,,"889,849",-3.68%,0,,0,,0,,986,-21.12%,0,,514,-4.99%,0,,0,,Subtotal Alaska,"2,412,524",3.37%,"1,853,285",8.74%,"928,823",5.32%,"22,239,418",8.74%,"699,519",50.08%,"15,794",,0,,"24,511",,"50,337",,"94,006",18.99%,"31,360",,"16,966",,"282,765,682",1.37%,"102,359,869",1.81%,"149,441,166",,"1,228,318,405",1.81%,"77,197,868",,"3,297,075",,"1,255,587",,"3,203,400",,"2,121,634",,"1,816,892",,"225,238",,"2,379,700",
Alaska,Klondike Gold Rush NHP Alaska,"854,250",7.43%,"287,912",7.84%,0,,"3,454,949",7.84%,0,,0,,0,,"2,221",62.12%,2,,"3,908",-7.44%,0,,0,,Subtotal Alaska,"2,412,524",3.37%,"1,853,285",8.74%,"928,823",5.32%,"22,239,418",8.74%,"699,519",50.08%,"15,794",,0,,"24,511",,"50,337",,"94,006",18.99%,"31,360",,"16,966",,"282,765,682",1.37%,"102,359,869",1.81%,"149,441,166",,"1,228,318,405",1.81%,"77,197,868",,"3,297,075",,"1,255,587",,"3,203,400",,"2,121,634",,"1,816,892",,"225,238",,"2,379,700",
Alaska,Kobuk Valley NP,"29,550",157.29%,"6,788",202.23%,"14,300",195.27%,"81,450",202.23%,"114,400",195.27%,0,,0,,0,,0,,"8,400",71.57%,"8,500",,0,76.39%,Subtotal Alaska,"2,412,524",3.37%,"1,853,285",8.74%,"928,823",5.32%,"22,239,418",8.74%,"699,519",50.08%,"15,794",,0,,"24,511",,"50,337",,"94,006",18.99%,"31,360",,"16,966",,"282,765,682",1.37%,"102,359,869",1.81%,"149,441,166",,"1,228,318,405",1.81%,"77,197,868",,"3,297,075",,"1,255,587",,"3,203,400",,"2,121,634",,"1,816,892",,"225,238",,"2,379,700",
